,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
60,2555,KEOKUK,101949.69,161.824904762,56.0,17.9685861678,52632,6863.18,10.8939365079,54.0266507937,84398.07,155.143511029,17.7968636204,5942.96,10.9245588235,51.8074816176,14838.66,17551.62,204.088604651,19.0548311185,920.22,10.7002325581,68.0641860465,17551.62
61,2556,ESTHERVILLE,47950.98,74.69,32.0,18.0986686244,51334,3730.34,5.81049844237,25.1112461059,40672.86,77.4721142857,17.9416008951,3221.51,6.13620952381,26.0683619048,8146.62,7278.12,62.2061538462,18.8034597177,508.83,4.34897435897,20.8164957265,7278.12
62,2558,MOUNT PLEASANT,97902.85,193.867029703,44.0,17.6965986863,52641,7400.11,14.6536831683,65.3062772277,77222.04,185.184748201,17.5693575503,6202.32,14.8736690647,62.5472901679,29003.27,20680.81,235.009204545,18.2995481602,1197.79,13.61125,78.3801136364,20680.81
63,2559,ALBIA,14053.89,87.8368125,68.0,15.1261011905,52531,1085.5,6.784375,29.470625,12022.75,89.0574074074,15.7226737213,879.0,6.51111111111,29.9108888889,2683.86,2031.14,81.2456,11.9046095238,206.5,8.26,27.0932,2031.14
64,2560,MARION,134789.25,127.641335227,57.0,17.6397453328,52302,9655.77,9.14372159091,42.6151799242,116129.54,132.567968037,17.7033105023,8342.02,9.52285388128,44.2666666667,23703.59,18659.71,103.665055556,17.3303948413,1313.75,7.29861111111,34.5779444444,18659.71
65,2561,DES MOINES,182873.19,146.298552,77.0,19.9795730547,50321,12535.17,10.028136,49.146096,157134.87,154.356453831,20.1172369024,10648.53,10.4602455796,51.9102259332,30898.92,25738.32,110.941034483,19.3755135851,1886.64,8.13206896552,37.0172844828,25738.32
66,2562,FORT DODGE,69965.67,224.97,94.0,13.5939963252,50501,6840.95,21.9966237942,76.3833762058,54966.77,212.226911197,13.3486927744,5348.2,20.6494208494,71.79,7341.93,14998.9,288.440384615,14.8157967033,1492.75,28.7067307692,99.2619230769,14998.9
67,2564,WATERLOO,59680.16,141.0878487,7.0,15.6860856041,50701,4757.03,11.2459338061,47.1924822695,48879.54,146.785405405,15.6511194653,3981.03,11.955045045,49.1307807808,7412.45,10800.62,120.006888889,15.8154603175,776.0,8.62222222222,40.0207777778,10800.62
68,2565,SPENCER,87792.76,67.3774059862,21.0,18.1636889946,51301,6358.03,4.87953184958,22.5020107444,71542.43,69.1899709865,17.9392659354,5189.44,5.01880077369,23.1063539652,17936.08,16250.33,60.4101486989,19.0263411995,1168.59,4.34420074349,20.1789962825,16250.33
69,2566,KNOXVILLE,37097.93,91.5998271605,63.0,17.6820132213,50138,2636.06,6.50879012346,30.5719259259,30363.02,93.4246769231,17.569227831,2175.55,6.694,31.1883076923,4163.07,6734.91,84.186375,18.140203869,460.51,5.756375,28.067875,6734.91
